date,timestamp,type,strike,expiration,contracts,premium,notional_value,unusual,sentiment
2025-08-07,2025-08-07T12:36:00,call,37.0,2025-08-21,39,3.28,12791.89,False,call
2025-08-07,2025-08-07T12:00:00,put,31.0,2025-08-14,9,4.17,3750.18,False,put
2025-08-07,2025-08-07T11:44:00,put,33.0,2025-09-06,5,2.97,1486.8,False,put
2025-08-07,2025-08-07T10:02:00,put,36.0,2025-08-21,41,4.21,17250.11,False,put
2025-08-07,2025-08-07T12:00:00,call,32.0,2025-10-06,51,1.5,7637.16,False,call
2025-08-07,2025-08-07T09:22:00,call,38.0,2025-08-21,4,2.53,1013.23,False,call
2025-08-07,2025-08-07T12:22:00,put,37.0,2025-08-10,192,3.62,69434.65,False,put
2025-08-07,2025-08-07T10:46:00,call,31.0,2025-08-21,10,2.11,2105.37,False,call
2025-08-07,2025-08-07T09:48:00,call,36.0,2025-08-14,720,4.35,313556.01,False,call
2025-08-07,2025-08-07T12:51:00,put,37.0,2025-09-06,880,1.84,161673.6,False,put
2025-08-08,2025-08-08T10:17:00,call,37.0,2025-08-15,205,4.18,85657.4,False,call
2025-08-08,2025-08-08T09:04:00,put,35.0,2025-10-07,17,1.24,2099.86,False,put
2025-08-08,2025-08-08T13:16:00,call,39.0,2025-08-15,7,0.82,576.73,False,call
2025-08-08,2025-08-08T11:35:00,put,38.0,2025-08-11,66,3.02,19906.37,False,put
2025-08-08,2025-08-08T16:41:00,call,32.0,2025-09-07,98,3.19,31262.74,False,call
2025-08-08,2025-08-08T09:35:00,put,32.0,2025-08-22,2,2.35,470.34,False,put
2025-08-08,2025-08-08T16:48:00,put,37.0,2025-09-07,2,2.74,548.17,False,put
2025-08-08,2025-08-08T09:00:00,put,33.0,2025-08-22,83,0.82,6780.18,False,put
2025-08-08,2025-08-08T11:22:00,put,37.0,2025-09-07,631,1.63,102919.48,False,put
2025-08-08,2025-08-08T16:40:00,put,34.0,2025-08-22,549,2.9,159359.07,False,put
2025-08-08,2025-08-08T09:04:00,call,37.0,2025-09-07,4,2.0,799.06,False,call
2025-08-08,2025-08-08T15:42:00,put,36.0,2025-10-07,48,0.68,3271.51,False,put
2025-08-08,2025-08-08T11:30:00,put,36.0,2025-09-07,932,1.63,151916.6,False,put
2025-08-08,2025-08-08T13:44:00,call,34.0,2025-08-11,32,4.44,14208.84,False,call
2025-08-08,2025-08-08T13:43:00,put,35.0,2025-10-07,381,3.69,140449.35,False,put
2025-08-08,2025-08-08T15:25:00,put,33.0,2025-08-22,310,3.26,101093.3,False,put
2025-08-08,2025-08-08T13:54:00,call,38.0,2025-09-07,24,3.06,7332.25,False,call
2025-08-08,2025-08-08T10:46:00,call,39.0,2025-09-07,4,4.92,1968.08,False,call
2025-08-08,2025-08-08T13:07:00,put,35.0,2025-08-11,80,4.89,39156.96,False,put
2025-08-08,2025-08-08T11:22:00,call,36.0,2025-08-22,175,3.32,58143.67,False,call
2025-08-08,2025-08-08T15:38:00,call,35.0,2025-08-11,146,4.89,71379.71,False,call
2025-08-08,2025-08-08T12:05:00,call,39.0,2025-09-07,199,3.88,77242.11,False,call
2025-08-08,2025-08-08T14:18:00,call,36.0,2025-09-07,113,4.23,47828.24,False,call
2025-08-08,2025-08-08T12:17:00,call,39.0,2025-09-07,477,3.15,150092.27,True,call
2025-08-08,2025-08-08T13:57:00,call,34.0,2025-10-07,3,3.63,1088.51,False,call
2025-08-08,2025-08-08T11:48:00,put,37.0,2025-10-07,730,4.8,350756.02,True,put
2025-08-08,2025-08-08T09:54:00,call,34.0,2025-09-07,30,2.66,7983.29,False,call
2025-08-08,2025-08-08T11:48:00,put,35.0,2025-08-15,45,0.74,3314.21,False,put
2025-08-08,2025-08-08T15:57:00,put,36.0,2025-08-11,40,3.29,13149.33,False,put
2025-08-08,2025-08-08T10:12:00,call,33.0,2025-08-11,799,1.26,100888.58,False,call
2025-08-08,2025-08-08T14:37:00,call,34.0,2025-08-15,6,1.6,960.84,False,call
2025-08-08,2025-08-08T14:27:00,call,32.0,2025-10-07,130,3.72,48307.46,False,call
2025-08-08,2025-08-08T09:40:00,call,38.0,2025-10-07,6,2.77,1660.42,False,call
2025-08-08,2025-08-08T10:11:00,call,37.0,2025-09-07,160,2.86,45732.23,False,call
2025-08-08,2025-08-08T10:28:00,call,36.0,2025-09-07,99,2.76,27289.73,False,call
2025-08-08,2025-08-08T15:11:00,call,35.0,2025-08-22,17,2.14,3636.55,False,call
2025-08-08,2025-08-08T12:59:00,put,38.0,2025-09-07,18,3.01,5417.86,False,put
2025-08-08,2025-08-08T10:10:00,put,35.0,2025-08-15,9,3.08,2767.69,False,put
2025-08-08,2025-08-08T13:22:00,call,35.0,2025-08-11,13,4.51,5863.08,False,call
2025-08-08,2025-08-08T11:40:00,put,35.0,2025-08-15,8,1.2,961.89,False,put
2025-08-08,2025-08-08T12:20:00,put,33.0,2025-09-07,36,1.35,4856.47,False,put
2025-08-08,2025-08-08T16:08:00,put,35.0,2025-09-07,8,4.65,3720.86,False,put
2025-08-08,2025-08-08T10:35:00,put,33.0,2025-08-15,530,1.18,62512.16,False,put
2025-08-08,2025-08-08T12:32:00,call,35.0,2025-08-15,10,4.59,4594.33,False,call
2025-08-08,2025-08-08T13:00:00,put,39.0,2025-08-22,214,4.99,106716.97,False,put
2025-08-08,2025-08-08T12:03:00,put,35.0,2025-09-07,30,3.7,11104.16,False,put
2025-08-08,2025-08-08T14:44:00,call,36.0,2025-09-07,143,1.57,22403.61,False,call
2025-08-08,2025-08-08T15:19:00,put,36.0,2025-08-22,29,3.98,11532.75,False,put
2025-08-08,2025-08-08T14:57:00,put,38.0,2025-08-15,626,3.22,201779.61,False,put
2025-08-08,2025-08-08T10:20:00,call,33.0,2025-08-11,8,4.81,3844.39,False,call
2025-08-08,2025-08-08T14:30:00,put,36.0,2025-09-07,121,2.46,29772.9,False,put
2025-08-08,2025-08-08T15:45:00,put,36.0,2025-10-07,163,1.27,20695.63,False,put
2025-08-08,2025-08-08T11:08:00,call,38.0,2025-09-07,674,0.78,52884.86,False,call
2025-08-08,2025-08-08T09:27:00,call,35.0,2025-08-22,14,1.38,1929.88,False,call
2025-08-08,2025-08-08T15:59:00,put,37.0,2025-08-15,200,3.3,66005.14,False,put
2025-08-08,2025-08-08T12:07:00,call,34.0,2025-10-07,34,2.9,9850.01,False,call
2025-08-08,2025-08-08T12:18:00,call,37.0,2025-09-07,1,3.13,313.09,False,call
2025-08-08,2025-08-08T12:41:00,call,39.0,2025-08-22,900,4.07,365977.71,True,call
2025-08-08,2025-08-08T16:51:00,put,33.0,2025-08-22,5,1.02,511.07,False,put
2025-08-08,2025-08-08T09:52:00,call,33.0,2025-08-15,13,3.01,3907.49,False,call
2025-08-08,2025-08-08T10:58:00,put,36.0,2025-10-07,182,1.5,27311.56,False,put
2025-08-08,2025-08-08T13:09:00,put,37.0,2025-08-11,551,4.06,223730.49,False,put
2025-08-08,2025-08-08T09:50:00,call,33.0,2025-10-07,1,1.68,167.58,False,call
2025-08-08,2025-08-08T11:19:00,call,33.0,2025-10-07,11,2.05,2259.88,False,call
2025-08-08,2025-08-08T12:53:00,put,38.0,2025-08-11,481,1.79,86188.1,False,put
2025-08-08,2025-08-08T14:11:00,put,38.0,2025-08-11,1,4.17,416.7,False,put
2025-08-08,2025-08-08T09:30:00,put,33.0,2025-08-11,50,4.15,20747.52,False,put
2025-08-08,2025-08-08T11:43:00,put,37.0,2025-10-07,9,3.64,3279.93,False,put
2025-08-08,2025-08-08T12:48:00,call,37.0,2025-08-22,37,1.01,3752.03,False,call
2025-08-08,2025-08-08T10:29:00,call,36.0,2025-08-22,8,2.98,2384.97,False,call
2025-08-08,2025-08-08T16:44:00,call,34.0,2025-08-22,358,4.98,178139.2,False,call
2025-08-08,2025-08-08T10:53:00,call,38.0,2025-09-07,959,1.97,188573.29,False,call
2025-08-08,2025-08-08T10:00:00,call,35.0,2025-08-15,469,3.02,141680.12,False,call
2025-08-08,2025-08-08T14:35:00,put,35.0,2025-08-22,1,3.05,304.88,False,put
2025-08-08,2025-08-08T12:22:00,put,39.0,2025-08-11,7,3.78,2644.31,False,put
2025-08-08,2025-08-08T11:00:00,put,38.0,2025-10-07,5,1.3,651.42,False,put
2025-08-08,2025-08-08T11:39:00,call,34.0,2025-08-22,8,3.93,3142.05,False,call
2025-08-08,2025-08-08T10:38:00,call,34.0,2025-08-15,141,4.11,57977.58,False,call
2025-08-08,2025-08-08T09:53:00,put,35.0,2025-08-11,8,4.83,3865.73,False,put
2025-08-08,2025-08-08T11:42:00,call,36.0,2025-08-22,28,3.76,10516.03,False,call
2025-08-11,2025-08-11T12:04:00,call,40.0,2025-08-25,503,3.72,186879.8,False,call
2025-08-11,2025-08-11T13:25:00,put,38.0,2025-08-25,141,3.31,46715.11,False,put
2025-08-11,2025-08-11T09:37:00,call,37.0,2025-09-10,18,0.8,1432.03,False,call
2025-08-11,2025-08-11T11:27:00,put,38.0,2025-08-25,162,4.65,75384.21,False,put
2025-08-11,2025-08-11T13:07:00,call,33.0,2025-09-10,49,1.64,8034.84,False,call
2025-08-11,2025-08-11T15:54:00,put,36.0,2025-08-18,134,3.88,52013.23,False,put
2025-08-11,2025-08-11T12:03:00,put,36.0,2025-10-10,146,1.53,22291.09,False,put
2025-08-11,2025-08-11T10:15:00,put,36.0,2025-09-10,29,4.17,12092.24,False,put
2025-08-11,2025-08-11T13:25:00,call,40.0,2025-08-18,115,0.66,7574.08,False,call
2025-08-11,2025-08-11T11:11:00,put,36.0,2025-09-10,560,4.22,236057.38,True,put
2025-08-11,2025-08-11T09:07:00,put,37.0,2025-10-10,515,2.49,128408.78,False,put
2025-08-11,2025-08-11T14:19:00,put,36.0,2025-09-10,11,3.88,4262.97,False,put
2025-08-11,2025-08-11T11:16:00,call,38.0,2025-10-10,105,3.28,34391.36,False,call
2025-08-11,2025-08-11T16:35:00,call,38.0,2025-08-18,77,1.51,11655.64,False,call
2025-08-11,2025-08-11T09:23:00,call,39.0,2025-08-14,36,0.66,2365.53,False,call
2025-08-11,2025-08-11T12:27:00,put,36.0,2025-08-18,69,0.69,4794.46,False,put
2025-08-11,2025-08-11T15:30:00,call,40.0,2025-08-25,77,4.87,37511.98,False,call
2025-08-11,2025-08-11T15:51:00,call,35.0,2025-08-14,35,2.03,7090.16,False,call
2025-08-11,2025-08-11T09:29:00,put,34.0,2025-09-10,4,1.75,698.68,False,put
2025-08-11,2025-08-11T16:56:00,call,38.0,2025-10-10,192,4.65,89217.19,False,call
2025-08-11,2025-08-11T16:16:00,call,38.0,2025-08-25,106,4.72,50069.76,False,call
2025-08-11,2025-08-11T10:31:00,call,33.0,2025-08-25,153,4.92,75327.61,False,call
2025-08-11,2025-08-11T13:58:00,call,34.0,2025-08-25,61,3.88,23672.9,False,call
2025-08-11,2025-08-11T09:11:00,put,36.0,2025-10-10,78,3.81,29694.52,False,put
2025-08-11,2025-08-11T13:26:00,call,36.0,2025-10-10,5,4.72,2360.63,False,call
2025-08-11,2025-08-11T10:15:00,put,38.0,2025-09-10,8,2.81,2249.27,False,put
2025-08-11,2025-08-11T15:44:00,call,36.0,2025-08-25,57,2.07,11824.6,False,call
2025-08-11,2025-08-11T16:23:00,put,33.0,2025-08-25,330,2.63,86934.48,False,put
2025-08-11,2025-08-11T11:10:00,call,33.0,2025-08-18,11,3.4,3737.79,False,call
2025-08-11,2025-08-11T14:01:00,call,37.0,2025-08-18,91,1.41,12845.51,False,call
2025-08-11,2025-08-11T10:09:00,put,39.0,2025-08-14,10,2.68,2682.38,False,put
2025-08-11,2025-08-11T11:17:00,call,36.0,2025-08-25,167,3.37,56250.28,False,call
2025-08-11,2025-08-11T09:01:00,put,33.0,2025-08-25,123,3.18,39073.65,False,put
2025-08-11,2025-08-11T10:32:00,put,36.0,2025-08-14,6,1.58,947.01,False,put
2025-08-11,2025-08-11T14:56:00,call,39.0,2025-08-18,260,2.57,66833.46,False,call
2025-08-11,2025-08-11T12:33:00,put,35.0,2025-08-14,191,4.75,90643.92,False,put
2025-08-11,2025-08-11T13:55:00,put,40.0,2025-10-10,32,2.13,6824.17,False,put
2025-08-11,2025-08-11T13:59:00,call,34.0,2025-08-14,130,4.01,52122.4,False,call
2025-08-11,2025-08-11T09:34:00,call,34.0,2025-08-25,87,2.91,25343.88,False,call
2025-08-11,2025-08-11T11:50:00,call,36.0,2025-08-14,853,4.38,373593.23,False,call
2025-08-11,2025-08-11T11:25:00,put,40.0,2025-08-25,3,0.68,202.92,False,put
2025-08-11,2025-08-11T11:43:00,put,35.0,2025-08-14,265,1.54,40801.24,False,put
2025-08-11,2025-08-11T16:55:00,call,40.0,2025-08-18,726,1.39,101197.18,False,call
2025-08-11,2025-08-11T09:21:00,call,39.0,2025-10-10,30,2.34,7014.61,False,call
2025-08-11,2025-08-11T12:49:00,call,34.0,2025-08-14,404,1.94,78575.0,False,call
2025-08-11,2025-08-11T14:47:00,put,34.0,2025-09-10,904,2.37,214519.97,False,put
2025-08-11,2025-08-11T14:00:00,put,36.0,2025-09-10,4,3.19,1274.36,False,put
2025-08-11,2025-08-11T12:51:00,put,37.0,2025-08-18,268,1.46,39046.44,False,put
2025-08-11,2025-08-11T09:24:00,call,35.0,2025-08-14,158,2.37,37522.83,False,call
2025-08-11,2025-08-11T16:35:00,put,38.0,2025-10-10,124,1.03,12821.29,False,put
2025-08-11,2025-08-11T09:22:00,put,40.0,2025-08-18,152,3.16,48054.47,False,put
2025-08-11,2025-08-11T15:36:00,call,33.0,2025-09-10,827,4.28,354014.54,False,call
2025-08-11,2025-08-11T15:45:00,call,34.0,2025-08-18,6,0.89,534.18,False,call
2025-08-11,2025-08-11T13:11:00,put,34.0,2025-08-14,5,4.41,2206.27,False,put
2025-08-11,2025-08-11T12:26:00,call,37.0,2025-09-10,147,3.71,54588.75,False,call
2025-08-11,2025-08-11T14:29:00,call,39.0,2025-09-10,182,0.88,16058.28,False,call
2025-08-12,2025-08-12T16:21:00,call,36.0,2025-08-26,153,4.69,71770.97,False,call
2025-08-12,2025-08-12T11:21:00,put,35.0,2025-08-26,755,4.73,356962.06,False,put
2025-08-12,2025-08-12T13:54:00,call,36.0,2025-08-26,4,1.63,650.48,False,call
2025-08-12,2025-08-12T15:15:00,call,39.0,2025-08-15,2,3.18,636.86,False,call
2025-08-12,2025-08-12T11:01:00,call,36.0,2025-08-15,397,2.77,110144.6,False,call
2025-08-12,2025-08-12T12:12:00,put,35.0,2025-08-15,7,3.15,2207.41,False,put
2025-08-12,2025-08-12T11:51:00,put,42.0,2025-08-15,93,3.62,33629.07,False,put
2025-08-12,2025-08-12T14:58:00,call,42.0,2025-09-11,804,3.82,307323.37,True,call
2025-08-12,2025-08-12T16:26:00,put,35.0,2025-08-26,566,2.86,161855.78,False,put
2025-08-12,2025-08-12T14:47:00,call,39.0,2025-09-11,15,4.7,7053.65,False,call
2025-08-12,2025-08-12T13:28:00,call,40.0,2025-08-19,2,1.43,286.72,False,call
2025-08-12,2025-08-12T16:37:00,call,37.0,2025-08-26,99,3.26,32262.76,False,call
2025-08-12,2025-08-12T11:58:00,put,36.0,2025-09-11,3,0.56,168.7,False,put
2025-08-12,2025-08-12T09:05:00,put,41.0,2025-09-11,11,1.45,1599.44,False,put
2025-08-12,2025-08-12T11:58:00,call,36.0,2025-09-11,1,4.59,459.09,False,call
2025-08-12,2025-08-12T15:22:00,call,39.0,2025-08-19,73,4.11,30036.2,False,call
2025-08-12,2025-08-12T09:17:00,call,37.0,2025-09-11,912,2.95,269126.8,True,call
2025-08-12,2025-08-12T14:12:00,call,38.0,2025-08-19,6,0.57,342.23,False,call
2025-08-12,2025-08-12T13:56:00,call,41.0,2025-08-15,7,2.12,1480.87,False,call
2025-08-12,2025-08-12T11:54:00,put,37.0,2025-10-11,49,2.13,10426.45,False,put
2025-08-12,2025-08-12T15:22:00,call,41.0,2025-08-15,61,1.19,7276.01,False,call
2025-08-12,2025-08-12T13:01:00,call,36.0,2025-09-11,156,0.88,13760.54,False,call
2025-08-12,2025-08-12T12:35:00,put,35.0,2025-08-19,43,3.49,15000.0,False,put
2025-08-12,2025-08-12T10:30:00,put,38.0,2025-08-19,36,3.84,13822.61,False,put
2025-08-12,2025-08-12T12:26:00,call,36.0,2025-08-19,7,1.37,959.58,False,call
2025-08-12,2025-08-12T13:11:00,put,40.0,2025-10-11,5,4.62,2307.77,False,put
2025-08-12,2025-08-12T14:12:00,call,38.0,2025-08-15,5,4.5,2251.09,False,call
2025-08-12,2025-08-12T14:27:00,put,39.0,2025-09-11,5,1.98,989.69,False,put
2025-08-12,2025-08-12T14:51:00,call,42.0,2025-09-11,780,4.13,322357.42,False,call
2025-08-12,2025-08-12T16:49:00,call,36.0,2025-10-11,6,3.48,2086.33,False,call
2025-08-12,2025-08-12T13:26:00,put,39.0,2025-08-26,4,2.42,969.99,False,put
2025-08-12,2025-08-12T16:09:00,call,37.0,2025-08-26,32,3.74,11976.97,False,call
2025-08-12,2025-08-12T15:52:00,call,39.0,2025-08-26,215,1.53,32801.15,True,call
2025-08-12,2025-08-12T09:05:00,put,36.0,2025-09-11,43,3.83,16470.97,False,put
2025-08-12,2025-08-12T10:52:00,call,41.0,2025-08-26,41,3.27,13398.64,False,call
2025-08-12,2025-08-12T12:49:00,put,38.0,2025-08-19,481,4.59,220556.17,True,put
2025-08-12,2025-08-12T13:44:00,put,37.0,2025-08-19,22,3.57,7850.27,False,put
2025-08-12,2025-08-12T13:14:00,put,39.0,2025-08-26,104,1.73,18031.65,False,put
2025-08-12,2025-08-12T15:26:00,put,42.0,2025-10-11,9,4.02,3617.37,False,put
2025-08-12,2025-08-12T10:47:00,put,36.0,2025-09-11,10,1.42,1417.22,False,put
2025-08-12,2025-08-12T09:08:00,put,35.0,2025-10-11,5,4.68,2338.64,False,put
2025-08-12,2025-08-12T10:54:00,put,39.0,2025-10-11,123,3.36,41278.18,False,put
2025-08-12,2025-08-12T12:30:00,put,40.0,2025-10-11,624,3.58,223522.84,False,put
2025-08-12,2025-08-12T09:07:00,call,35.0,2025-08-19,4,0.56,225.68,False,call
2025-08-12,2025-08-12T14:01:00,call,38.0,2025-08-15,2,1.98,395.46,False,call
2025-08-12,2025-08-12T14:19:00,call,38.0,2025-08-26,6,1.06,633.78,False,call
2025-08-12,2025-08-12T12:25:00,call,39.0,2025-08-26,481,4.45,213909.81,False,call
2025-08-12,2025-08-12T09:26:00,put,40.0,2025-10-11,7,2.83,1984.43,False,put
2025-08-12,2025-08-12T12:52:00,put,40.0,2025-08-19,65,4.14,26925.82,False,put
2025-08-12,2025-08-12T11:18:00,call,41.0,2025-08-19,319,0.96,30650.57,False,call
2025-08-12,2025-08-12T11:59:00,put,41.0,2025-08-26,158,4.23,66808.09,False,put
2025-08-12,2025-08-12T13:33:00,call,40.0,2025-09-11,136,1.06,14411.82,False,call
2025-08-12,2025-08-12T10:15:00,call,39.0,2025-10-11,10,1.95,1945.5,False,call
2025-08-12,2025-08-12T15:24:00,call,36.0,2025-08-26,69,4.59,31685.48,False,call
2025-08-12,2025-08-12T16:40:00,put,38.0,2025-08-15,2,3.62,724.66,False,put
2025-08-12,2025-08-12T15:05:00,call,39.0,2025-08-26,43,3.4,14630.4,False,call
2025-08-12,2025-08-12T14:12:00,call,41.0,2025-10-11,67,3.3,22136.99,False,call
2025-08-12,2025-08-12T16:58:00,put,41.0,2025-09-11,3,2.47,740.61,False,put
2025-08-12,2025-08-12T11:12:00,put,35.0,2025-08-26,69,3.65,25185.13,False,put
2025-08-12,2025-08-12T12:23:00,call,39.0,2025-08-19,286,2.35,67291.12,False,call
2025-08-12,2025-08-12T14:45:00,call,37.0,2025-09-11,1,4.07,407.09,False,call
2025-08-12,2025-08-12T15:41:00,call,38.0,2025-08-15,127,4.44,56413.29,False,call
2025-08-12,2025-08-12T14:38:00,call,38.0,2025-10-11,755,3.22,242799.89,False,call
2025-08-12,2025-08-12T15:32:00,call,37.0,2025-10-11,981,4.54,445502.59,False,call
2025-08-12,2025-08-12T10:50:00,call,41.0,2025-08-26,70,2.34,16404.78,False,call
2025-08-12,2025-08-12T13:02:00,call,41.0,2025-10-11,65,4.71,30640.39,False,call
2025-08-12,2025-08-12T12:08:00,call,40.0,2025-08-19,3,2.01,603.19,False,call
2025-08-12,2025-08-12T12:05:00,call,41.0,2025-09-11,8,1.3,1041.78,False,call
2025-08-12,2025-08-12T11:38:00,put,41.0,2025-08-15,10,4.99,4993.85,False,put
2025-08-12,2025-08-12T09:55:00,call,40.0,2025-09-11,146,2.28,33289.33,False,call
2025-08-12,2025-08-12T10:50:00,put,36.0,2025-08-19,494,2.18,107571.71,False,put
2025-08-12,2025-08-12T12:50:00,call,42.0,2025-08-15,1,3.08,307.67,False,call
2025-08-12,2025-08-12T10:22:00,put,35.0,2025-08-26,103,1.52,15655.53,False,put
2025-08-12,2025-08-12T14:20:00,call,38.0,2025-08-15,270,3.02,81585.85,True,call
2025-08-12,2025-08-12T13:07:00,put,36.0,2025-08-19,19,2.29,4353.26,False,put
2025-08-12,2025-08-12T11:45:00,call,38.0,2025-09-11,8,3.01,2407.58,False,call
2025-08-13,2025-08-13T16:53:00,call,38.0,2025-10-12,5,3.7,1852.03,False,call
2025-08-13,2025-08-13T15:53:00,put,35.0,2025-09-12,4,2.99,1197.54,False,put
2025-08-13,2025-08-13T11:04:00,put,37.0,2025-08-20,7,3.84,2691.06,False,put
2025-08-13,2025-08-13T14:33:00,put,39.0,2025-08-16,82,1.78,14572.44,False,put
2025-08-13,2025-08-13T15:03:00,put,43.0,2025-09-12,123,3.14,38659.56,False,put
2025-08-13,2025-08-13T16:53:00,call,36.0,2025-10-12,51,3.72,18954.94,False,call
2025-08-13,2025-08-13T13:25:00,call,41.0,2025-08-20,801,3.28,262765.66,False,call
2025-08-13,2025-08-13T13:47:00,call,38.0,2025-09-12,1,1.47,146.86,False,call
2025-08-13,2025-08-13T13:03:00,call,36.0,2025-09-12,1,2.1,210.45,False,call
2025-08-13,2025-08-13T15:53:00,call,39.0,2025-08-27,178,1.86,33113.57,False,call
2025-08-13,2025-08-13T14:02:00,call,36.0,2025-08-16,501,3.07,153792.13,False,call
2025-08-13,2025-08-13T14:11:00,put,38.0,2025-10-12,10,4.12,4121.61,False,put
2025-08-13,2025-08-13T14:21:00,call,38.0,2025-08-27,186,1.37,25392.13,False,call
2025-08-13,2025-08-13T13:41:00,call,39.0,2025-08-20,12,2.7,3235.45,False,call
2025-08-13,2025-08-13T15:13:00,put,38.0,2025-08-20,139,3.47,48174.36,False,put
2025-08-13,2025-08-13T13:10:00,put,37.0,2025-09-12,46,4.5,20706.0,False,put
2025-08-13,2025-08-13T16:57:00,put,40.0,2025-08-16,29,1.9,5498.79,False,put
2025-08-13,2025-08-13T11:33:00,call,37.0,2025-10-12,3,1.57,471.97,False,call
2025-08-13,2025-08-13T14:52:00,call,40.0,2025-09-12,50,4.01,20056.23,False,call
2025-08-13,2025-08-13T15:08:00,put,39.0,2025-09-12,162,1.64,26506.37,False,put
2025-08-13,2025-08-13T14:40:00,put,41.0,2025-08-27,10,0.76,756.92,False,put
2025-08-13,2025-08-13T13:21:00,put,40.0,2025-10-12,73,3.31,24134.4,False,put
2025-08-13,2025-08-13T12:21:00,put,36.0,2025-08-20,35,3.35,11736.89,False,put
2025-08-13,2025-08-13T09:59:00,call,40.0,2025-09-12,560,3.3,184700.99,False,call
2025-08-13,2025-08-13T15:38:00,put,37.0,2025-08-20,6,4.92,2952.12,False,put
2025-08-13,2025-08-13T09:46:00,call,41.0,2025-10-12,424,2.44,103548.91,False,call
2025-08-13,2025-08-13T16:32:00,put,41.0,2025-10-12,845,0.53,44934.56,False,put
2025-08-13,2025-08-13T12:05:00,call,37.0,2025-08-27,38,1.54,5839.09,False,call
2025-08-13,2025-08-13T15:54:00,put,36.0,2025-09-12,991,4.24,420587.11,False,put
2025-08-13,2025-08-13T13:59:00,call,39.0,2025-10-12,101,3.82,38591.99,False,call
2025-08-13,2025-08-13T11:21:00,put,36.0,2025-08-20,35,3.88,13582.01,False,put
2025-08-13,2025-08-13T09:43:00,call,41.0,2025-08-27,194,0.63,12299.24,False,call
2025-08-13,2025-08-13T14:31:00,put,40.0,2025-08-20,30,0.54,1629.09,False,put
2025-08-13,2025-08-13T09:02:00,put,36.0,2025-09-12,955,2.15,205514.94,True,put
2025-08-13,2025-08-13T11:23:00,call,40.0,2025-09-12,142,2.64,37476.74,False,call
2025-08-13,2025-08-13T13:56:00,put,38.0,2025-08-27,15,4.25,6375.53,False,put
2025-08-13,2025-08-13T13:37:00,call,42.0,2025-08-20,10,1.94,1936.28,False,call
2025-08-13,2025-08-13T16:29:00,call,35.0,2025-09-12,185,0.61,11201.37,False,call
2025-08-13,2025-08-13T09:55:00,call,36.0,2025-08-20,25,1.99,4979.75,False,call
2025-08-13,2025-08-13T15:49:00,call,37.0,2025-08-20,37,1.78,6584.33,False,call
2025-08-13,2025-08-13T11:24:00,call,38.0,2025-08-16,7,0.99,695.69,False,call
2025-08-13,2025-08-13T10:20:00,call,38.0,2025-08-20,941,4.79,450519.3,True,call
2025-08-13,2025-08-13T15:44:00,call,39.0,2025-08-27,199,4.13,82131.06,False,call
2025-08-13,2025-08-13T11:55:00,put,38.0,2025-10-12,115,2.67,30663.96,False,put
2025-08-13,2025-08-13T15:09:00,call,36.0,2025-10-12,10,4.43,4428.26,False,call
2025-08-13,2025-08-13T09:00:00,put,36.0,2025-08-16,18,2.83,5086.29,False,put
2025-08-13,2025-08-13T10:27:00,call,42.0,2025-08-16,4,4.43,1771.49,False,call
2025-08-13,2025-08-13T09:44:00,call,40.0,2025-08-27,26,0.66,1714.38,False,call
2025-08-13,2025-08-13T10:26:00,call,35.0,2025-08-20,137,3.79,51947.31,False,call
2025-08-13,2025-08-13T13:52:00,put,37.0,2025-08-20,37,1.21,4477.1,False,put
2025-08-13,2025-08-13T09:36:00,call,41.0,2025-09-12,244,3.49,85049.39,False,call
2025-08-13,2025-08-13T13:20:00,call,38.0,2025-08-16,255,3.92,99851.59,True,call
2025-08-13,2025-08-13T13:59:00,call,37.0,2025-08-27,20,3.82,7636.29,False,call
2025-08-13,2025-08-13T13:23:00,call,39.0,2025-10-12,85,0.51,4345.19,False,call
2025-08-13,2025-08-13T09:56:00,call,35.0,2025-08-16,5,2.38,1190.08,False,call
2025-08-13,2025-08-13T12:32:00,call,35.0,2025-08-27,24,3.03,7279.89,False,call
2025-08-13,2025-08-13T12:23:00,put,42.0,2025-08-27,22,2.45,5384.59,False,put
2025-08-13,2025-08-13T12:45:00,call,40.0,2025-08-20,25,2.94,7355.24,False,call
2025-08-13,2025-08-13T12:23:00,call,38.0,2025-10-12,389,2.32,90238.84,False,call
2025-08-13,2025-08-13T12:28:00,put,41.0,2025-08-27,36,1.95,7012.89,False,put
2025-08-13,2025-08-13T13:48:00,put,36.0,2025-08-16,402,3.24,130073.35,False,put
2025-08-13,2025-08-13T11:09:00,call,36.0,2025-10-12,6,4.11,2466.58,False,call
2025-08-13,2025-08-13T10:34:00,put,35.0,2025-10-12,751,2.31,173669.87,False,put
2025-08-13,2025-08-13T11:28:00,call,39.0,2025-10-12,246,4.22,103828.89,False,call
2025-08-14,2025-08-14T16:23:00,put,39.0,2025-08-17,10,4.09,4093.07,False,put
2025-08-14,2025-08-14T09:52:00,call,40.0,2025-08-17,8,2.05,1642.07,False,call
2025-08-14,2025-08-14T10:38:00,put,37.0,2025-10-13,187,3.74,69943.7,False,put
2025-08-14,2025-08-14T10:34:00,put,41.0,2025-08-21,151,3.31,49965.0,False,put
2025-08-14,2025-08-14T12:20:00,call,39.0,2025-09-13,3,4.95,1485.05,False,call
